timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,message_type,mmsi,call_sign,imo_number,speed__knots_,heading__deg_,course_over_ground__deg_,rate_of_turn,ship_type,destination,naviagation_status,dimension_bow,dimension_stern,dimension_port,dimension_starboard,draft,source_type,received_by_EDC,received_by_receiver,receiver,signal_strength,signal_noise_ratio,latitude,longitude,geometry
2024-01-04 04:01:49+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,95,85,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:01:49Z,,,-107,19,38.626748,-83.24226,POINT Z (-83.24226 38.626748 0)
2024-01-04 04:02:01+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,97,86,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:02:01Z,,,-105,22,38.626773,-83.241752,POINT Z (-83.241752 38.626773 0)
2024-01-04 04:02:11+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,98,88,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:02:11Z,,,-106,20,38.626785,-83.24137,POINT Z (-83.24137 38.626785 0)
2024-01-04 04:10:01+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,121,121,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:10:01Z,,,-113,14,38.622688,-83.222124,POINT Z (-83.222124 38.622688 0)
2024-01-04 04:10:41+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,121,121,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:10:41Z,,,-115,13,38.621978,-83.220595,POINT Z (-83.220595 38.621978 0)
2024-01-04 04:13:01+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,118,123,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:13:01Z,,,-112,15,38.619496,-83.215415,POINT Z (-83.215415 38.619496 0)
2024-01-04 04:14:53+00:00,,,clampToGround,-1,0,1,,,3,368133920,WDL4693,0,7,112,119,-53,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:14:53Z,,,-108,19,38.617658,-83.211137,POINT Z (-83.211137 38.617658 0)
2024-01-04 04:15:01+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,111,119,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:01Z,,,-106,21,38.617543,-83.210872,POINT Z (-83.210872 38.617543 0)
2024-01-04 04:15:21+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,109,116,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:21Z,,,-106,21,38.617238,-83.21011,POINT Z (-83.21011 38.617238 0)
2024-01-04 04:15:24+00:00,,,clampToGround,-1,0,1,,,3,368133920,WDL4693,0,7,108,117,-53,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:24Z,,,-106,19,38.617178,-83.209959,POINT Z (-83.209959 38.617178 0)
2024-01-04 04:15:25+00:00,,,clampToGround,-1,0,1,,,3,368133920,WDL4693,0,7,108,117,-53,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:25Z,,,-105,22,38.617178,-83.209959,POINT Z (-83.209959 38.617178 0)
2024-01-04 04:15:27+00:00,,,clampToGround,-1,0,1,,,3,368133920,WDL4693,0,7,108,116,-53,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:27Z,,,-107,20,38.617131,-83.209842,POINT Z (-83.209842 38.617131 0)
2024-01-04 04:15:29+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,7,107,116,-53,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-04T04:15:29Z,,,-107,18,38.617103,-83.209765,POINT Z (-83.209765 38.617103 0)
